nodeName	altName	nodeAttr[nodesPresent, ]
ZNF558	ZNF558	floralwhite
ARHGEF40	ARHGEF40	floralwhite
PHF2	PHF2	floralwhite
FOXRED1	FOXRED1	floralwhite
PCCB	PCCB	floralwhite
TDRD9	TDRD9	floralwhite
VPS33A	VPS33A	floralwhite
COPS7A	COPS7A	floralwhite
MFAP3L	MFAP3L	floralwhite
PTPRO	PTPRO	floralwhite
LOC400927-CSNK1E///CSNK1E	LOC400927-CSNK1E///CSNK1E	floralwhite
BRI3BP	BRI3BP	floralwhite
MRPL30	MRPL30	floralwhite
FAM96A	FAM96A	floralwhite
KIAA0196	KIAA0196	floralwhite
RLF	RLF	floralwhite
RWDD2B	RWDD2B	floralwhite
DNASE1L1	DNASE1L1	floralwhite
AIFM2	AIFM2	floralwhite
PRKAG1	PRKAG1	floralwhite
PPP1R7	PPP1R7	floralwhite
ZNF337	ZNF337	floralwhite
CSGALNACT2	CSGALNACT2	floralwhite
MFSD1	MFSD1	floralwhite
ESYT2	ESYT2	floralwhite
VPS33B	VPS33B	floralwhite
DHX57	DHX57	floralwhite
AAAS	AAAS	floralwhite
DLAT	DLAT	floralwhite
SIGLEC12	SIGLEC12	floralwhite
CPSF3	CPSF3	floralwhite
GAN	GAN	floralwhite
FAHD1	FAHD1	floralwhite
MRPS10	MRPS10	floralwhite
HEATR3	HEATR3	floralwhite
GLE1	GLE1	floralwhite
GNL1	GNL1	floralwhite
SLC37A4	SLC37A4	floralwhite
SEC22B	SEC22B	floralwhite
FARS2	FARS2	floralwhite
INTS2	INTS2	floralwhite
GDI2	GDI2	floralwhite
EIF4EBP1	EIF4EBP1	floralwhite
FAM136A	FAM136A	floralwhite
SLC26A6	SLC26A6	floralwhite
CASP9	CASP9	floralwhite
IL17RB	IL17RB	floralwhite
IREB2	IREB2	floralwhite
ERO1A	ERO1A	floralwhite
ATP6V1H	ATP6V1H	floralwhite
SLC38A7	SLC38A7	floralwhite
DOK1	DOK1	floralwhite
GOLGA1	GOLGA1	floralwhite
HADHB	HADHB	floralwhite
ILKAP	ILKAP	floralwhite
TIMMDC1	TIMMDC1	floralwhite
ZNF460	ZNF460	floralwhite
RNF130	RNF130	floralwhite
HKR1///HKR1	HKR1///HKR1	floralwhite
APEX1	APEX1	floralwhite
RTN4IP1	RTN4IP1	floralwhite
ENTPD5	ENTPD5	floralwhite
TPT1	TPT1	floralwhite
RTCA	RTCA	floralwhite
IMMT	IMMT	floralwhite
