nodeName	altName	nodeAttr[nodesPresent, ]
UBE2N	UBE2N	darkred
CMTM7	CMTM7	darkred
RETSAT	RETSAT	darkred
MYO9B	MYO9B	darkred
ZFPL1	ZFPL1	darkred
AP2A1	AP2A1	darkred
AIP	AIP	darkred
GLB1	GLB1	darkred
AUP1	AUP1	darkred
TTC7A	TTC7A	darkred
PTDSS1	PTDSS1	darkred
HTRA4	HTRA4	darkred
CS	CS	darkred
CYB561A3	CYB561A3	darkred
MARVELD1	MARVELD1	darkred
AP1M2	AP1M2	darkred
TRADD	TRADD	darkred
PRPF6	PRPF6	darkred
GPN2	GPN2	darkred
ITGB1	ITGB1	darkred
EML2	EML2	darkred
TBC1D15	TBC1D15	darkred
CNPY3	CNPY3	darkred
LRRC47	LRRC47	darkred
TMEM161A	TMEM161A	darkred
NDUFV1	NDUFV1	darkred
GPATCH2	GPATCH2	darkred
ZNF649	ZNF649	darkred
HVCN1	HVCN1	darkred
LEMD3	LEMD3	darkred
TANGO2	TANGO2	darkred
SMCR8	SMCR8	darkred
ERGIC3	ERGIC3	darkred
ELF2	ELF2	darkred
FBXO30	FBXO30	darkred
VPS11	VPS11	darkred
PPIL4	PPIL4	darkred
TMUB2	TMUB2	darkred
TYK2	TYK2	darkred
SNX8	SNX8	darkred
RAB5C	RAB5C	darkred
HECTD3	HECTD3	darkred
GPBP1	GPBP1	darkred
WDR81	WDR81	darkred
SMC5	SMC5	darkred
COQ9	COQ9	darkred
SLTM	SLTM	darkred
TTI2	TTI2	darkred
ATP6V0C	ATP6V0C	darkred
GCHFR	GCHFR	darkred
IFT43	IFT43	darkred
ARID4B	ARID4B	darkred
SLC2A9	SLC2A9	darkred
RABGGTA	RABGGTA	darkred
ATAD2B	ATAD2B	darkred
SENP6	SENP6	darkred
SUOX	SUOX	darkred
SLC38A10	SLC38A10	darkred
VPS26B	VPS26B	darkred
KIFAP3	KIFAP3	darkred
MFSD12	MFSD12	darkred
SRSF11	SRSF11	darkred
HN1	HN1	darkred
CRAT	CRAT	darkred
MOGS	MOGS	darkred
OXA1L	OXA1L	darkred
OAZ1	OAZ1	darkred
XRN1	XRN1	darkred
RABL6	RABL6	darkred
TNFSF12-TNFSF13///TNFSF12///TNFSF13	TNFSF12-TNFSF13///TNFSF12///TNFSF13	darkred
CD63	CD63	darkred
RN7SL737P	RN7SL737P	darkred
PI4K2A	PI4K2A	darkred
UBL7	UBL7	darkred
RALGAPA1	RALGAPA1	darkred
DDRGK1	DDRGK1	darkred
CTBP1	CTBP1	darkred
BAP1	BAP1	darkred
