nodeName	altName	nodeAttr[nodesPresent, ]
RBL1	RBL1	lightgreen
TBC1D10C	TBC1D10C	lightgreen
ISG20	ISG20	lightgreen
ICOS	ICOS	lightgreen
APOBEC3C	APOBEC3C	lightgreen
FAM231A///LOC388692	FAM231A///LOC388692	lightgreen
TESPA1	TESPA1	lightgreen
STK4	STK4	lightgreen
KIF22	KIF22	lightgreen
LY9	LY9	lightgreen
PTTG2	PTTG2	lightgreen
XCL1	XCL1	lightgreen
TNFRSF9	TNFRSF9	lightgreen
SKAP1	SKAP1	lightgreen
IL2RB	IL2RB	lightgreen
PARP8	PARP8	lightgreen
RNVU1-4	RNVU1-4	lightgreen
PCNX2	PCNX2	lightgreen
IKZF2	IKZF2	lightgreen
PVRIG	PVRIG	lightgreen
CD40LG	CD40LG	lightgreen
CD72	CD72	lightgreen
CDC42SE2	CDC42SE2	lightgreen
DUSP2	DUSP2	lightgreen
KLRC2	KLRC2	lightgreen
EOMES	EOMES	lightgreen
CD247	CD247	lightgreen
PASK	PASK	lightgreen
PBX4	PBX4	lightgreen
NIN	NIN	lightgreen
FCRL3	FCRL3	lightgreen
