nodeName	altName	nodeAttr[nodesPresent, ]
EPHA2	EPHA2	purple
SKP2	SKP2	purple
GCH1	GCH1	purple
SLC12A7	SLC12A7	purple
ETS2	ETS2	purple
FAS	FAS	purple
YBX3	YBX3	purple
LIF	LIF	purple
MAP2K3	MAP2K3	purple
DUSP14	DUSP14	purple
FRG1JP///LOC283788	FRG1JP///LOC283788	purple
REL	REL	purple
TSC22D2	TSC22D2	purple
RCBTB1	RCBTB1	purple
SERTAD1	SERTAD1	purple
SNORA67	SNORA67	purple
CA13	CA13	purple
ESRP1///RAF1	ESRP1///RAF1	purple
MOB3C	MOB3C	purple
DLGAP1-AS1	DLGAP1-AS1	purple
DSN1	DSN1	purple
ELF4	ELF4	purple
COX11	COX11	purple
LOC728554///THOC3	LOC728554///THOC3	purple
ADH5///ADH5	ADH5///ADH5	purple
VPS37B	VPS37B	purple
ALDH1A3	ALDH1A3	purple
CFAP20	CFAP20	purple
ZNF589	ZNF589	purple
ABCC5	ABCC5	purple
ATP2B4	ATP2B4	purple
ERN1	ERN1	purple
TMEM60	TMEM60	purple
CREB5	CREB5	purple
PPP1R15B	PPP1R15B	purple
LITAF	LITAF	purple
ZNF175	ZNF175	purple
DOT1L	DOT1L	purple
RIPK2	RIPK2	purple
PLEKHO1	PLEKHO1	purple
MAFK	MAFK	purple
NFATC1	NFATC1	purple
RALGDS	RALGDS	purple
DIAPH1	DIAPH1	purple
ZNF57	ZNF57	purple
BAIAP2L1	BAIAP2L1	purple
RARA///BCOR	RARA///BCOR	purple
SSH1	SSH1	purple
FLRT3	FLRT3	purple
NAB2	NAB2	purple
SCARNA9L	SCARNA9L	purple
SEMA4A	SEMA4A	purple
LRIG3///LRIG3	LRIG3///LRIG3	purple
TMEM55A	TMEM55A	purple
OARD1	OARD1	purple
JOSD1	JOSD1	purple
C4orf19	C4orf19	purple
CYP2R1	CYP2R1	purple
PPP1R3B	PPP1R3B	purple
SLC25A33	SLC25A33	purple
KRT16P1///KRT16P3///KRT16P2///KRT16	KRT16P1///KRT16P3///KRT16P2///KRT16	purple
IFFO2	IFFO2	purple
MPZL3	MPZL3	purple
SRGN	SRGN	purple
TP53INP2	TP53INP2	purple
COL8A1	COL8A1	purple
IRAK2	IRAK2	purple
NSUN5P2///NSUN5P1///NSUN5	NSUN5P2///NSUN5P1///NSUN5	purple
ZNF740	ZNF740	purple
SLC20A1	SLC20A1	purple
FGF2	FGF2	purple
MPHOSPH9	MPHOSPH9	purple
ABL1	ABL1	purple
GPR176	GPR176	purple
BAZ1A	BAZ1A	purple
MCL1	MCL1	purple
ADAM17	ADAM17	purple
EPS8	EPS8	purple
KCNK1	KCNK1	purple
TOP1	TOP1	purple
METTL6	METTL6	purple
SDE2	SDE2	purple
ZNF503	ZNF503	purple
ZNF334	ZNF334	purple
PLAGL2	PLAGL2	purple
ZNF564	ZNF564	purple
DPH5	DPH5	purple
ACAT1	ACAT1	purple
LOC100130713	LOC100130713	purple
LOC102724238///LOC554249///GLIDR	LOC102724238///LOC554249///GLIDR	purple
BCL10	BCL10	purple
ZSWIM6	ZSWIM6	purple
RCAN1	RCAN1	purple
METRNL	METRNL	purple
CCNG1	CCNG1	purple
TMEM80	TMEM80	purple
ZNF792	ZNF792	purple
CDK5RAP3	CDK5RAP3	purple
SAT1	SAT1	purple
CHSY1	CHSY1	purple
CXCL3	CXCL3	purple
MCM7	MCM7	purple
RASGEF1B	RASGEF1B	purple
SERTAD3	SERTAD3	purple
DACT1	DACT1	purple
FRG1BP	FRG1BP	purple
FAM217B	FAM217B	purple
DIS3L	DIS3L	purple
AAED1	AAED1	purple
PPARD	PPARD	purple
LRRC8D	LRRC8D	purple
POLR3E	POLR3E	purple
PPP4R1	PPP4R1	purple
PALM2-AKAP2///PALM2///AKAP2	PALM2-AKAP2///PALM2///AKAP2	purple
RABGEF1	RABGEF1	purple
IFRD1	IFRD1	purple
ZNF431	ZNF431	purple
AGPAT4	AGPAT4	purple
SCO2	SCO2	purple
SNORD63	SNORD63	purple
STK35	STK35	purple
CLEC16A	CLEC16A	purple
TGIF1	TGIF1	purple
RAB27A	RAB27A	purple
COX19///ADAP1	COX19///ADAP1	purple
HARS2	HARS2	purple
MAPK1IP1L	MAPK1IP1L	purple
LRRC8B	LRRC8B	purple
RCOR3	RCOR3	purple
OSGEPL1	OSGEPL1	purple
ZNF552	ZNF552	purple
ABL2	ABL2	purple
ADPRM	ADPRM	purple
SAMD4B	SAMD4B	purple
GPR75	GPR75	purple
MGME1///MGME1	MGME1///MGME1	purple
CUTC	CUTC	purple
USP42	USP42	purple
USP36	USP36	purple
SNAI1	SNAI1	purple
PDK3	PDK3	purple
LUZP1	LUZP1	purple
TBC1D22B	TBC1D22B	purple
ETV3	ETV3	purple
MEPCE	MEPCE	purple
GOLPH3L	GOLPH3L	purple
YEATS2	YEATS2	purple
LIAS	LIAS	purple
TLE3	TLE3	purple
CEP170B	CEP170B	purple
SHB	SHB	purple
ANKZF1	ANKZF1	purple
RELL1	RELL1	purple
SPHK1	SPHK1	purple
ARFGAP3	ARFGAP3	purple
PCP4L1	PCP4L1	purple
TAF8	TAF8	purple
PET117///KAT14	PET117///KAT14	purple
CDK5RAP2	CDK5RAP2	purple
LATS2	LATS2	purple
ATF7IP	ATF7IP	purple
TCEANC	TCEANC	purple
MAP3K14	MAP3K14	purple
TPM3///ROS1	TPM3///ROS1	purple
PVR	PVR	purple
ZNRD1ASP	ZNRD1ASP	purple
PTMA	PTMA	purple
TOM1L1	TOM1L1	purple
TADA1	TADA1	purple
SUSD6	SUSD6	purple
ARHGAP19-SLIT1///ARHGAP19	ARHGAP19-SLIT1///ARHGAP19	purple
SLC2A14	SLC2A14	purple
ATP6AP1L	ATP6AP1L	purple
DCP1B	DCP1B	purple
GTF2B	GTF2B	purple
ZNF212	ZNF212	purple
RNF146	RNF146	purple
DYRK3	DYRK3	purple
ZNF623	ZNF623	purple
MAFF	MAFF	purple
MKKS	MKKS	purple
DHX35	DHX35	purple
TMEM218	TMEM218	purple
ATXN7	ATXN7	purple
SWAP70	SWAP70	purple
TRIM47	TRIM47	purple
NOCT	NOCT	purple
SNORD51	SNORD51	purple
RPAIN	RPAIN	purple
PAPD7	PAPD7	purple
ERF	ERF	purple
ZNF561	ZNF561	purple
VIPAS39	VIPAS39	purple
SCYL3	SCYL3	purple
PIP5K1A	PIP5K1A	purple
ZBTB24	ZBTB24	purple
SNORD42A	SNORD42A	purple
NUP153	NUP153	purple
FAM47E-STBD1///STBD1	FAM47E-STBD1///STBD1	purple
EXD2	EXD2	purple
WBP1L	WBP1L	purple
ZBTB40	ZBTB40	purple
DLGAP4	DLGAP4	purple
NFKBIE	NFKBIE	purple
ZNF763	ZNF763	purple
AGPAT4-IT1	AGPAT4-IT1	purple
SIK3	SIK3	purple
PDIK1L	PDIK1L	purple
ACP6	ACP6	purple
RNF43	RNF43	purple
FAM53C	FAM53C	purple
GNPAT	GNPAT	purple
TBP	TBP	purple
TUBGCP3	TUBGCP3	purple
COPS7B	COPS7B	purple
THYN1	THYN1	purple
CASP6	CASP6	purple
MIR17HG	MIR17HG	purple
NECTIN2	NECTIN2	purple
KLHL18	KLHL18	purple
MESDC1	MESDC1	purple
BIN3-IT1	BIN3-IT1	purple
SNORD4A	SNORD4A	purple
STARD7-AS1	STARD7-AS1	purple
ZKSCAN3	ZKSCAN3	purple
ZNF564///ZNF490	ZNF564///ZNF490	purple
NMUR2	NMUR2	purple
GDPD1	GDPD1	purple
HIPK1	HIPK1	purple
ATP8B5P	ATP8B5P	purple
MAT2A	MAT2A	purple
FUT10	FUT10	purple
KLHL15	KLHL15	purple
FBXO9	FBXO9	purple
BDKRB2	BDKRB2	purple
HIVEP3	HIVEP3	purple
GTF2A1	GTF2A1	purple
LIMS4///LIMS3-LOC440895///LIMS3///LIMS1	LIMS4///LIMS3-LOC440895///LIMS3///LIMS1	purple
PAAF1	PAAF1	purple
TIGD2	TIGD2	purple
AMMECR1L	AMMECR1L	purple
WTAP	WTAP	purple
DHX40	DHX40	purple
RIPK1	RIPK1	purple
ZBTB3	ZBTB3	purple
GSPT1	GSPT1	purple
ARL2BP	ARL2BP	purple
PEX12	PEX12	purple
NCK1	NCK1	purple
ZNF174	ZNF174	purple
STX16-NPEPL1///STX16	STX16-NPEPL1///STX16	purple
FAM200A	FAM200A	purple
LINC00680	LINC00680	purple
DCLRE1C	DCLRE1C	purple
TRMT2B	TRMT2B	purple
CA8	CA8	purple
TCEANC2	TCEANC2	purple
SMYD4	SMYD4	purple
SYNPO	SYNPO	purple
ZFP90	ZFP90	purple
RFC5	RFC5	purple
C15orf40	C15orf40	purple
NFKBID	NFKBID	purple
IRX5	IRX5	purple
LOC100506127	LOC100506127	purple
INVS	INVS	purple
